mwo_id,equipment_id,description,status,dm_urgency,hm_priority,assigned_tech,consumed_sku,manual_log,start_date
MWO-2026-100,EQ-01,Conveyor belt jam in Sector A,UNASSIGNED,High,Critical,,,,
MWO-2026-101,EQ-02,Motor bearing noise,ASSIGNED,Normal,Normal,TECH-01,,,2026-04-28T08:00:00Z
MWO-2026-102,EQ-03,Fluid leak on hydraulic press,IN_PROGRESS,Critical,Critical,TECH-02,SKU-HYD-01,Replaced primary seal,2026-04-28T09:30:00Z
MWO-2026-103,EQ-04,Calibration failure on sensor,PENDING_REVIEW,Low,Normal,TECH-03,,Recalibrated via software interface,2026-04-28T10:00:00Z
MWO-2026-104,EQ-05,Quarterly PM inspection,COMPLETED,Normal,Normal,TECH-01,SKU-FLT-12,All filters replaced,2026-04-27T14:00:00Z
MWO-2026-105,EQ-5,Routine check 105,UNASSIGNED,Normal,Normal,,,,
MWO-2026-106,EQ-6,Routine check 106,UNASSIGNED,Normal,Normal,,,,
MWO-2026-107,EQ-7,Routine check 107,UNASSIGNED,Normal,Normal,,,,
MWO-2026-108,EQ-8,Routine check 108,UNASSIGNED,Normal,Normal,,,,
MWO-2026-109,EQ-9,Routine check 109,UNASSIGNED,Normal,Normal,,,,
MWO-2026-110,EQ-10,Routine check 110,UNASSIGNED,Normal,Normal,,,,
MWO-2026-111,EQ-11,Routine check 111,UNASSIGNED,Normal,Normal,,,,
MWO-2026-112,EQ-12,Routine check 112,UNASSIGNED,Normal,Normal,,,,
MWO-2026-113,EQ-13,Routine check 113,UNASSIGNED,Normal,Normal,,,,
MWO-2026-114,EQ-14,Routine check 114,UNASSIGNED,Normal,Normal,,,,
MWO-2026-115,EQ-15,Routine check 115,UNASSIGNED,Normal,Normal,,,,
MWO-2026-116,EQ-16,Routine check 116,UNASSIGNED,Normal,Normal,,,,
MWO-2026-117,EQ-17,Routine check 117,UNASSIGNED,Normal,Normal,,,,
MWO-2026-118,EQ-18,Routine check 118,UNASSIGNED,Normal,Normal,,,,
MWO-2026-119,EQ-19,Routine check 119,UNASSIGNED,Normal,Normal,,,,
MWO-2026-120,EQ-20,Routine check 120,UNASSIGNED,Normal,Normal,,,,
